tokenId,name,image_url,json_url,size,relatedProject,creator,maxClaimed,price,EXP,RevealDate
100001,Gitcoin Teal,https://www.arweave.net/rEit2Q-66ZeR87c3fm5S50gzIM5ZcIS2DrgHkR8Cjp4?ext=png,https://www.arweave.net/9izdaUwNFu3VUKl78yKOWFFXzLAY3zx4H3jXuhAlW2A,"[8,8,0]",,eBoy,999999999,5,0,2022/11/11
100002,Gitcoin Yellow,https://www.arweave.net/Mh4KRmjC4e5L9A3Pv8kDIqO9fnMDqhlRISmMdMCvpKE?ext=png,https://www.arweave.net/GOi7KrxZuSJsP9XNAwTYQKI4oJ1YY2E3f5j39zHTbG8,"[8,8,0]",,eBoy,999999999,5,0,2022/11/11
100003,Maple Wood,https://www.arweave.net/uwXx_Ym-FGFY1bsSSsGBoqPeli2I9A4pEhOarEOw3AU?ext=png,https://www.arweave.net/QuBBkFpWCde9ghlZEv2E-Kgv8kKuhRu3_oVlLEnsQ1g,"[8,8,0]",,eBoy,999999999,5,0,2022/11/11
100005,Standard,https://www.arweave.net/NfsGiu53Xikskaa8a65_ihFHJDuQbyn676QoxTc_Vmk?ext=png,https://www.arweave.net/ZAgly_BEnz-zsuEtpZq2FLyCawgjvti10uSypPM6umY,"[8,8,0]",,eBoy,999999999,0,0,2022/11/11
100006,PC Connectors,https://www.arweave.net/-fDsllMDfxPEMTSYnTE7TrN4QQpCOf0DeDT4hygyurk?ext=png,https://www.arweave.net/OQf0RvgXxD_HtHt_OErz3iYHgf0ZyZYSPdNDWcg0nrs,"[8,8,0]",,eBoy,999999999,5,0,2022/11/11
100007,Anthracite,https://www.arweave.net/KMRLOcz6pLm2E9igoJHaHNEnaLD8uDMGAZzhZAdauOU?ext=png,https://www.arweave.net/XjflEYnJcwRdxHZ4PgY_Db5N7eeQX0-rB-uPjPnq8uA,"[8,8,0]",,eBoy,999999999,5,0,2022/11/11
100106,PHI Blue,https://www.arweave.net/dxqsBd4DMC3htrSaoDcIobDhKE5OZNgcg-wwS0mu7aI?ext=png,https://www.arweave.net/AFZ9vHEpIauzoYHfr3evl7drfWSztrDUwUO2nssigKE,"[8,8,0]",,eBoy,999999999,5,0,2022/11/11
100207,PHI Green,https://www.arweave.net/-r2CEjIsdVBgVGeg4V35vd_H6SivRuiLDy6kvofYqDU?ext=png,https://www.arweave.net/CGRyM4x9p_bpc4HFzd1bfJncJuVZi2i5BMe0qwd-gJI,"[8,8,0]",,eBoy,999999999,5,0,2022/11/11
100308,PHI Red,https://www.arweave.net/oox_LKvZLMD3dNK19x0ssQQ6diFsct4ZuAFB0zFe7N8?ext=png,https://www.arweave.net/AM_sTfxZJzXpcatUu0comP6SVLAyeHjsXvgDO1iz--M,"[8,8,0]",,eBoy,999999999,5,0,2022/11/11
100409,Walnut Wood,https://www.arweave.net/XTl2sNKq0ugs3Bd_LwwivvE11m2He-48oi-AIxWyl-g?ext=png,https://www.arweave.net/wVAOiEuEetgswBIIusBpGXDR1NXXMIMqXkwBXg5pc8I,"[8,8,0]",,eBoy,999999999,5,0,2022/11/11
100801,ENS,https://www.arweave.net/Hwml2nLvlNkSE9_c7fBK20cYBwoOLe6884pUCsZmZBA?ext=png,https://www.arweave.net/UVnWnzwlycvKiRTiI5P8P5xq4rlMWBnADm_lR2-zma8,"[8,8,0]",,eBoy,999999999,5,0,2022/12/09,5000000000000000000
